Offenses,All ages,0 to 17,18 & older,10 to 17,0 to 14,15 to 17,18 to 20,21 to 24,25 & older
All offenses,"12,196,960","1,319,700","10,877,260","1,310,310","370,600","949,100","1,586,720","1,920,430","7,370,100"
Murder and nonnegligent manslaughter,"11,080",720,"10,350",720,80,640,"1,970","2,340","6,050"
Forcible rape,"18,100","2,530","15,570","2,520",940,"1,580","2,460","2,510","10,600"
Robbery,"103,660","21,470","82,190","21,440","4,210","17,270","22,360","18,910","40,920"
Aggravated assault,"388,360","36,350","352,020","36,000","11,970","24,370","38,140","59,620","254,260"
Burglary,"283,580","53,770","229,810","53,340","15,020","38,750","50,480","45,600","133,740"
Larceny-theft,"1,282,350","224,180","1,058,170","223,140","65,020","159,160","193,840","183,510","680,820"
Motor vehicle theft,"68,850","13,080","55,770","13,070","2,740","10,330","10,290","10,260","35,220"
Arson,"11,430","4,360","7,080","4,130","2,570","1,790","1,150","1,070","4,860"
Simple assault,"1,199,480","173,080","1,026,400","171,010","67,640","105,440","110,090","172,100","744,210"
Forgery and counterfeiting,"67,050","1,440","65,610","1,440",200,"1,240","7,300","10,980","47,330"
Fraud,"153,540","4,720","148,820","4,700",870,"3,850","14,210","21,000","113,610"
Embezzlement,"16,020",440,"15,590",440,30,410,"2,490","3,200","9,900"
"Stolen property (buying, receiving, possessing)","97,670","12,940","84,740","12,900","2,930","10,000","15,210","16,300","53,230"
Vandalism,"228,460","59,940","168,530","58,820","23,510","36,430","34,630","35,440","98,450"
"Weapons (carrying, possessing, etc.)","149,290","24,690","124,600","24,160","8,460","16,220","23,010","26,640","74,950"
Prostitution and commercialized vice,"56,580",790,"55,790",790,60,730,"6,340","9,990","39,460"
Sex offense (except forcible rape and prostitution),"68,360","12,430","55,930","12,190","6,240","6,180","7,140","7,240","41,550"
Drug abuse violations,"1,552,430","140,040","1,412,390","139,880","24,220","115,820","264,350","288,250","859,800"
Gambling,"7,870",960,"6,910",960,100,860,"1,500","1,350","4,060"
Offenses against the family and children,"107,020","3,340","103,680","3,270","1,070","2,270","5,380","12,280","86,020"
Driving under the influence,"1,282,960","9,390","1,273,570","9,360",180,"9,210","89,220","234,470","949,880"
Liquor laws,"441,530","77,810","363,720","77,760","7,480","70,330","220,650","30,400","112,680"
Drunkenness,"511,270","9,900","501,370","9,870","1,200","8,700","41,830","81,850","377,700"
Disorderly conduct,"544,000","120,130","423,860","119,300","46,100","74,030","61,790","84,930","277,140"
Vagrancy,"27,000","1,420","25,580","1,420",370,"1,050","3,140","2,990","19,450"
All other offenses (except traffic),"3,448,860","239,620","3,209,240","237,900","57,540","182,080","357,780","557,220","2,294,250"
Curfew and loitering,"70,190","70,190",0,"69,800","19,840","50,350",0,0,0
Violent Crime Index,"521,200","61,070","460,130","60,670","17,200","43,860","64,930","83,380","311,820"
Property Crime Index,"1,646,210","295,390","1,350,830","293,680","85,360","210,030","255,760","240,430","854,640"
