Offenses,All ages,0 to 17,18 & older,10 to 17,0 to 14,15 to 17,18 to 20,21 to 24,25 & older
All offenses,"10,310,960","728,280","9,582,680","723,670","217,380","510,900","897,030","1,339,130","7,346,520"
Murder and nonnegligent manslaughter,"11,970",920,"11,050",920,90,830,"1,850","2,170","7,030"
Rape,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbery,"88,130","17,290","70,840","17,270","3,420","13,870","15,060","14,210","41,570"
Aggravated assault,"395,800","27,940","367,860","27,740","9,760","18,180","28,700","51,050","288,110"
Burglary,"178,610","22,250","156,360","22,040","6,750","15,500","18,460","21,870","116,030"
Larceny-theft,"887,620","92,630","795,000","92,250","26,090","66,540","88,500","101,710","604,790"
Motor vehicle theft,"91,680","14,780","76,900","14,760","3,650","11,130","9,190","13,530","54,180"
Arson,"9,390","1,850","7,540","1,770","1,070",780,640,800,"6,100"
Simple assault,"1,063,540","125,030","938,500","123,850","51,710","73,330","74,080","130,450","733,980"
Forgery and counterfeiting,"50,070","1,040","49,030","1,030",210,830,"5,460","6,200","37,380"
Fraud,"119,950","4,710","115,240","4,700","1,110","3,600","8,850","14,340","92,060"
Embezzlement,"14,770",580,"14,190",580,30,550,"2,130","2,310","9,750"
"Stolen property (buying, receiving, possessing)","93,160","9,320","83,840","9,300","2,000","7,320","10,330","12,150","61,370"
Vandalism,"179,830","30,600","149,230","30,120","11,720","18,870","17,870","25,240","106,130"
"Weapons (carrying, possessing, etc.)","168,400","17,170","151,230","16,970","4,940","12,230","19,290","30,350","101,590"
Prostitution and commercialized vice,"31,150",260,"30,890",260,50,210,"3,090","5,440","22,350"
Sex offenses (except rape & prostitution),NA,NA,NA,NA,NA,NA,NA,NA,NA
Drug abuse violations,"1,654,280","90,670","1,563,610","90,560","15,540","75,130","206,970","256,500","1,100,140"
Gambling,"3,320",180,"3,140",180,30,150,320,810,"2,020"
Offenses against the family and children,"87,480","3,340","84,130","3,290","1,200","2,140","3,410","7,650","73,080"
Driving under the influence,"1,001,330","5,450","995,880","5,440",140,"5,310","48,610","146,420","800,850"
Liquor laws,"173,150","26,350","146,800","26,320","3,660","22,690","69,540","11,830","65,430"
Drunkenness,"328,770","3,270","325,500","3,260",490,"2,780","16,130","38,910","270,460"
Disorderly conduct,"329,150","57,760","271,400","57,310","23,300","34,450","26,700","40,700","203,990"
Vagrancy,"23,550",680,"22,860",680,190,500,"1,080","1,690","20,090"
All other offenses (except traffic),"3,231,700","140,500","3,091,200","139,620","38,170","102,330","214,290","395,670","2,481,240"
Curfew and loitering,"22,030","22,030",0,"21,900","6,760","15,270",0,0,0
Violent Crime Index,NA,NA,NA,NA,NA,NA,NA,NA,NA
Property Crime Index,"1,167,300","131,500","1,035,800","130,820","37,550","93,950","116,800","137,910","781,090"
Violent crimes*,"495,900","46,140","449,760","45,930","13,270","32,870","45,620","67,430","336,710"
