Offenses,All ages,0 to 17,18 & older,10 to 17,0 to 14,15 to 17,18 to 20,21 to 24,25 & older
All offenses,"11,302,100","1,081,420","10,220,680","1,073,250","303,840","777,590","1,362,010","1,799,060","7,059,600"
Murder and nonnegligent manslaughter,"10,230",750,"9,490",750,90,660,"1,800","2,210","5,480"
Rape,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbery,"94,410","19,170","75,240","19,150","3,880","15,290","19,580","17,630","38,020"
Aggravated assault,"358,860","30,920","327,940","30,610","10,250","20,670","32,470","54,410","241,060"
Burglary,"252,630","42,940","209,690","42,640","11,800","31,140","40,930","41,900","126,850"
Larceny-theft,"1,231,580","185,970","1,045,610","185,110","52,770","133,200","173,100","183,470","689,040"
Motor vehicle theft,"64,570","11,630","52,940","11,610","2,640","8,990","9,260","10,030","33,650"
Arson,"10,510","3,670","6,840","3,460","2,100","1,570","1,030","1,050","4,760"
Simple assault,"1,097,740","146,940","950,800","145,150","57,820","89,120","94,260","158,460","698,090"
Forgery and counterfeiting,"60,970","1,060","59,910","1,050",120,940,"6,490","10,100","43,320"
Fraud,"143,530","4,480","139,050","4,470",880,"3,600","12,160","20,670","106,210"
Embezzlement,"15,730",400,"15,330",400,50,350,"2,490","3,060","9,790"
"Stolen property (buying, receiving, possessing)","92,690","10,340","82,350","10,320","2,400","7,940","13,310","15,630","53,400"
Vandalism,"201,170","46,720","154,450","45,860","17,870","28,850","28,550","32,590","93,310"
"Weapons (carrying, possessing, etc.)","137,780","20,350","117,430","19,950","6,940","13,410","19,650","25,000","72,780"
Prostitution and commercialized vice,"48,620",760,"47,860",760,70,690,"5,520","9,000","33,350"
Sex offenses (except rape & prostitution),NA,NA,NA,NA,NA,NA,NA,NA,NA
Drug abuse violations,"1,501,040","117,100","1,383,940","116,990","20,220","96,880","241,910","281,330","860,700"
Gambling,"6,020",720,"5,310",720,120,600,940,"1,000","3,370"
Offenses against the family and children,"101,250","2,800","98,440","2,750",940,"1,860","4,500","11,420","82,530"
Driving under the influence,"1,166,820","7,560","1,159,260","7,540",150,"7,410","73,420","209,160","876,680"
Liquor laws,"354,870","59,120","295,750","59,070","5,580","53,540","174,250","24,770","96,740"
Drunkenness,"443,530","7,350","436,180","7,320",870,"6,470","33,330","68,740","334,110"
Disorderly conduct,"467,990","95,410","372,580","94,570","36,930","58,480","49,650","73,290","249,640"
Vagrancy,"25,760",880,"24,880",870,210,660,"2,490","2,910","19,480"
All other offenses (except traffic),"3,282,650","195,130","3,087,520","193,530","46,390","148,740","313,140","532,690","2,241,700"
Curfew and loitering,"56,370","56,370",0,"55,930","16,640","39,730",0,0,0
Violent Crime Index,NA,NA,NA,NA,NA,NA,NA,NA,NA
Property Crime Index,"1,559,280","244,210","1,315,070","242,820","69,310","174,900","224,320","236,450","854,310"
Violent crimes*,"463,500","50,830","412,660","50,510","14,210","36,620","53,850","74,250","284,560"
