Offenses,All ages,0 to 17,18 & older,10 to 17,0 to 14,15 to 17,18 to 20,21 to 24,25 & older
All offenses,"10,662,250","856,130","9,806,130","849,970","239,270","616,860","1,080,100","1,545,180","7,180,840"
Murder and nonnegligent manslaughter,"11,790",850,"10,940",850,80,780,"1,880","2,310","6,740"
Rape,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbery,"95,750","19,200","76,560","19,170","3,630","15,570","17,810","16,140","42,610"
Aggravated assault,"383,980","28,060","355,920","27,880","8,980","19,080","30,630","53,960","271,330"
Burglary,"207,330","31,980","175,340","31,740","9,590","22,400","27,100","29,640","118,600"
Larceny-theft,"1,050,060","134,180","915,880","133,580","36,670","97,510","118,260","136,140","661,480"
Motor vehicle theft,"86,090","15,720","70,370","15,700","3,550","12,170","10,890","12,470","47,010"
Arson,"9,810","2,540","7,270","2,420","1,460","1,080",740,970,"5,550"
Simple assault,"1,078,810","128,920","949,880","127,270","49,930","79,000","80,510","142,900","726,470"
Forgery and counterfeiting,"56,660","1,220","55,450","1,210",130,"1,080","6,660","8,390","40,390"
Fraud,"128,530","4,640","123,890","4,630",970,"3,670","10,310","17,240","96,340"
Embezzlement,"15,940",680,"15,260",680,60,620,"2,490","2,840","9,920"
"Stolen property (buying, receiving, possessing)","93,980","10,890","83,090","10,880","2,340","8,550","11,800","14,440","56,860"
Vandalism,"195,950","39,120","156,830","38,450","15,710","23,410","23,310","29,540","103,980"
"Weapons (carrying, possessing, etc.)","156,780","19,420","137,360","19,170","6,030","13,390","20,310","28,340","88,710"
Prostitution and commercialized vice,"38,310",500,"37,810",500,60,440,"3,840","6,850","27,120"
Sex offenses (except rape & prostitution),NA,NA,NA,NA,NA,NA,NA,NA,NA
Drug abuse violations,"1,572,580","98,490","1,474,090","98,380","15,170","83,320","223,600","273,820","976,660"
Gambling,"3,710",260,"3,450",260,30,230,460,470,"2,520"
Offenses against the family and children,"88,750","3,470","85,280","3,350","1,330","2,140","3,660","9,000","72,630"
Driving under the influence,"1,017,810","6,480","1,011,330","6,470",110,"6,370","56,900","163,220","791,210"
Liquor laws,"234,900","36,710","198,190","36,700","3,860","32,850","104,060","16,330","77,800"
Drunkenness,"376,430","4,770","371,670","4,750",570,"4,200","23,120","50,060","298,480"
Disorderly conduct,"369,730","65,710","304,020","65,090","25,060","40,660","34,590","50,740","218,690"
Vagrancy,"24,850",780,"24,070",770,190,590,"1,940","2,420","19,720"
All other offenses (except traffic),"3,254,870","155,180","3,099,690","154,070","38,380","116,800","258,110","469,000","2,372,570"
Curfew and loitering,"34,180","34,180",0,"34,010","9,810","24,360",0,0,0
Violent Crime Index,NA,NA,NA,NA,NA,NA,NA,NA,NA
Property Crime Index,"1,353,280","184,430","1,168,860","183,450","51,260","133,160","156,990","179,220","832,640"
Violent crimes*,"491,520","48,110","443,410","47,900","12,680","35,430","50,320","72,410","320,680"
