Offenses,All ages,0 to 17,18 & older,10 to 17,0 to 14,15 to 17,18 to 20,21 to 24,25 & older
All offenses,"13,120,950","1,642,510","11,478,430","1,631,940","448,480","1,194,030","1,856,210","2,008,750","7,613,470"
Murder and nonnegligent manslaughter,"11,200","1,010","10,190","1,010",90,920,"2,120","2,170","5,900"
Forcible rape,"20,090","2,870","17,220","2,860",950,"1,920","2,900","2,860","11,470"
Robbery,"112,300","27,190","85,120","27,140","5,090","22,100","26,100","18,900","40,120"
Aggravated assault,"408,490","44,820","363,670","44,440","14,020","30,800","45,640","60,870","257,150"
Burglary,"289,770","65,200","224,570","64,640","17,860","47,350","57,900","44,540","122,130"
Larceny-theft,"1,271,410","281,060","990,350","279,650","79,790","201,270","215,760","170,700","603,890"
Motor vehicle theft,"71,490","15,760","55,730","15,740","3,170","12,590","12,290","10,270","33,170"
Arson,"11,300","4,560","6,740","4,300","2,670","1,900","1,220","1,040","4,470"
Simple assault,"1,292,450","210,240","1,082,210","207,960","80,080","130,170","128,110","180,810","773,290"
Forgery and counterfeiting,"78,100","1,690","76,410","1,680",210,"1,480","8,870","13,310","54,230"
Fraud,"187,890","5,770","182,120","5,740",950,"4,820","17,140","24,570","140,410"
Embezzlement,"16,620",440,"16,180",440,20,420,"2,800","3,150","10,230"
"Stolen property (buying, receiving, possessing)","94,800","14,640","80,160","14,580","3,210","11,430","17,240","15,130","47,790"
Vandalism,"252,750","77,070","175,690","75,680","29,940","47,120","40,430","36,870","98,390"
"Weapons (carrying, possessing, etc.)","159,020","31,360","127,660","30,820","10,460","20,900","27,290","26,830","73,540"
Prostitution and commercialized vice,"62,670","1,040","61,630","1,040",120,930,"7,170","10,130","44,320"
Sex offense (except forcible rape and prostitution),"72,630","12,970","59,660","12,730","6,280","6,690","8,070","8,000","43,600"
Drug abuse violations,"1,638,850","170,570","1,468,270","170,370","29,920","140,660","304,690","292,400","871,180"
Gambling,"9,940","1,350","8,590","1,350",150,"1,200","1,940","1,570","5,080"
Offenses against the family and children,"111,060","3,780","107,280","3,710","1,230","2,560","6,510","12,920","87,850"
Driving under the influence,"1,412,220","12,030","1,400,200","11,990",220,"11,810","108,740","254,860","1,036,600"
Liquor laws,"512,790","94,710","418,080","94,640","9,290","85,420","259,190","36,300","122,580"
Drunkenness,"560,720","12,700","548,020","12,680","1,560","11,140","49,750","89,540","408,730"
Disorderly conduct,"615,170","155,940","459,240","155,140","57,640","98,290","75,250","92,900","291,090"
Vagrancy,"32,030","2,140","29,900","2,130",600,"1,530","4,180","3,350","22,360"
All other offenses (except traffic),"3,720,400","296,790","3,423,610","295,010","69,420","227,370","424,920","594,780","2,403,910"
Curfew and loitering,"94,800","94,800",0,"94,480","23,510","71,280",0,0,0
Violent Crime Index,"552,080","75,890","476,190","75,450","20,160","55,730","76,750","84,800","314,640"
Property Crime Index,"1,643,960","366,590","1,277,370","364,330","103,490","263,100","287,170","226,540","763,670"
