Offenses,All ages,0 to 17,18 & older,10 to 17,0 to 14,15 to 17,18 to 20,21 to 24,25 & older
All offenses,"10,554,990","809,700","9,745,290","804,510","230,370","579,330","1,006,790","1,436,890","7,301,600"
Murder and nonnegligent manslaughter,"12,210",910,"11,290",910,90,830,"1,900","2,260","7,130"
Rape,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbery,"94,050","19,330","74,710","19,310","3,700","15,630","17,180","14,750","42,780"
Aggravated assault,"388,930","28,220","360,700","28,010","9,190","19,030","29,600","52,190","278,910"
Burglary,"199,270","30,850","168,420","30,600","9,690","21,160","23,610","26,330","118,480"
Larceny-theft,"950,360","118,660","831,700","118,050","33,410","85,250","102,530","113,750","615,410"
Motor vehicle theft,"91,020","16,300","74,720","16,290","3,900","12,410","10,440","12,320","51,960"
Arson,"9,110","2,240","6,870","2,170","1,280",960,700,810,"5,360"
Simple assault,"1,062,370","123,040","939,330","121,840","48,400","74,640","76,090","133,300","729,930"
Forgery and counterfeiting,"55,600","1,220","54,380","1,220",170,"1,050","6,310","7,600","40,460"
Fraud,"124,230","4,760","119,470","4,750",950,"3,810","9,490","15,580","94,400"
Embezzlement,"15,970",640,"15,330",640,50,590,"2,550","2,660","10,130"
"Stolen property (buying, receiving, possessing)","98,660","10,500","88,160","10,480","2,150","8,340","11,760","14,030","62,370"
Vandalism,"188,350","36,720","151,630","36,130","14,810","21,910","20,490","26,590","104,560"
"Weapons (carrying, possessing, etc.)","164,980","18,370","146,620","18,220","5,410","12,950","20,350","29,300","96,960"
Prostitution and commercialized vice,"36,250",280,"35,970",280,40,240,"3,620","6,110","26,240"
Sex offenses (except rape & prostitution),NA,NA,NA,NA,NA,NA,NA,NA,NA
Drug abuse violations,"1,632,920","94,830","1,538,100","94,730","14,220","80,600","221,030","266,980","1,050,080"
Gambling,"3,240",270,"2,960",270,40,240,450,450,"2,060"
Offenses against the family and children,"94,060","3,770","90,290","3,690","1,280","2,490","3,660","8,710","77,920"
Driving under the influence,"990,680","6,080","984,600","6,060",120,"5,960","52,220","152,800","779,580"
Liquor laws,"207,330","33,560","173,770","33,540","3,930","29,630","89,830","14,130","69,810"
Drunkenness,"366,820","4,300","362,520","4,280",550,"3,750","20,750","45,470","296,310"
Disorderly conduct,"353,150","62,530","290,630","62,060","24,510","38,010","31,250","45,560","213,820"
Vagrancy,"23,320",730,"22,590",730,190,540,"1,370","2,000","19,220"
All other offenses (except traffic),"3,290,020","149,050","3,140,960","148,070","37,660","111,390","242,800","436,070","2,462,090"
Curfew and loitering,"30,130","30,130",0,"29,970","8,870","21,260",0,0,0
Violent Crime Index,NA,NA,NA,NA,NA,NA,NA,NA,NA
Property Crime Index,"1,249,760","168,050","1,081,700","167,110","48,280","119,780","137,280","153,200","791,220"
Violent crimes*,"495,180","48,470","446,710","48,230","12,980","35,490","48,690","69,210","328,820"
